MMSI,Suspicious
219007078,0
219007101,0
219007155,0
219007234,0
219007313,2
219007314,0
219007362,0
219007363,0
219007366,0
219007393,0
219007401,0
219007404,0
219007421,0
219007456,0
219007457,0
219007462,0
219007471,0
219007572,0
219007577,0
219007596,0
219007641,0
219007671,0
219007678,0
219007679,0
219007705,0
219007727,0
219007781,0
219007835,0
219007898,0
219007925,0
219007932,0
219007937,0
219007964,0
219007967,0
219008000,1
219008089,0
219008145,0
219008177,0
219008384,0
219008474,0
219008746,0
219008783,0
219009041,0
219009042,0
219009081,0
219009101,0
219009135,0
219009183,0
219009229,0
219009331,0
219009335,0
219009338,0
219009353,0
219009412,0
219009414,0
219009415,0
219009763,0
219009799,0
219009897,0
219009907,0
219010244,0
219010246,0
219010247,1
219010252,0
219010487,0
219010518,0
219010706,7
219010747,0
219010764,0
219010818,0
219010873,0
219010921,20
219011018,0
219011021,0
219011032,3
219011048,0
219011069,0
219011074,0
219011136,0
219011179,0
219011201,0
219011224,0
219011225,0
219011231,0
219011234,0
219011283,0
219011289,0
219011325,0
219011491,2
219011493,0
219011624,0
219011764,0
219011867,0
219011894,0
219011953,0
219012073,0
219012076,0
219012148,0
219012162,0
219012175,0
219012275,0
219012302,0
219012332,0
219012344,0
219012351,0
219012459,0
219012477,0
219012511,5
219012521,0
219012563,0
219012639,0
219012671,0
219012753,0
219012788,0
219012789,0
219012793,0
219013005,0
219013178,0
219013192,0
219013359,0
219013391,0
219013485,0
219013514,0
219013538,0
219013577,0
219013596,0
219013667,0
219013885,0
219013933,0
219013964,0
219013968,0
219013969,0
219013976,0
219014012,0
219014054,0
219014072,0
219014096,0
219014161,0
219014162,0
219014192,0
219014219,1
219014244,0
219014267,3
219014374,0
219014399,0
219014412,0
219014435,0
219014436,0
219014461,0
219014519,0
219014579,0
219014692,0
219014753,0
219014818,0
219014875,0
219014974,0
219015103,0
219015127,0
219015153,0
219015161,0
219015182,0
219015186,0
219015233,0
219015298,3
219015302,0
219015318,0
219015321,0
219015332,0
219015338,0
219015359,0
219015361,0
219015362,0
219015382,0
219015384,0
219015403,0
219015425,0
219015427,0
219015497,0
219015532,0
219015573,0
219015579,0
219015583,0
219015595,0
219015604,0
219015617,0
219016144,0
219016223,0
219016306,0
219016547,0
219016555,23
219016577,0
219016599,0
219016601,0
219016615,0
219016645,0
